KEPT       | en       | Ukraine    | Jamala — 1944
TRANSLATED | he       | Israel     | Subliminal — I like It - איי לייק איט (משאולין לתל אביב)
TRANSLATED | he       | Israel     | Subliminal — Yesh Lanu Ahava - יש לנו אהבה
TRANSLATED | he       | Israel     | Subliminal — Mami - מאמי
TRANSLATED | he       | Israel     | Subliminal — Beit Hasefer Hayashan - בית הספר הישן
KEPT       | en       | Israel     | Subliminal — Klasit Ve’parsi - קלאסית ופרסי
TRANSLATED | he       | Israel     | Subliminal — Banu Hoshech Legaresh - באנו חושך לגרש
TRANSLATED | he       | Israel     | Subliminal — Florentine - פלורנטין
TRANSLATED | he       | Israel     | Subliminal — Tamid Kadima - תמיד קדימה
TRANSLATED | he       | Israel     | Subliminal — Me T.A Le L.A - מת”א לל”א
TRANSLATED | ru       | Israel     | Noa — Плоский круг (Flat Circle)
TRANSLATED | ru       | Israel     | Noa — Будем (Will Be)
TRANSLATED | ru       | Israel     | Noa — Вся моя (All Mine)
TRANSLATED | ru       | Israel     | Noa — Mikasa
TRANSLATED | ru       | Israel     | Noa — Старые друзья (Old Friends)
TRANSLATED | ru       | Israel     | Noa — стрелы в сердце (arrows in the heart)
TRANSLATED | ru       | Israel     | Noa — Как есть (As It Is)
TRANSLATED | ru       | Israel     | Noa — ты выбрал это сам (you chose this yourself)
TRANSLATED | ru       | Israel     | Noa — Вдвоём (Together)
TRANSLATED | ru       | Israel     | Noa — Hurt
TRANSLATED | ru       | Israel     | Noa — Дома (At Home)
TRANSLATED | ru       | Israel     | Noa — Вопрос ответ (Question Answer)
TRANSLATED | ru       | Israel     | Noa — Не важно (Never Mind)
TRANSLATED | ru       | Israel     | Noa — Амулет (Amulet)
TRANSLATED | ru       | Israel     | Noa — Тоска (Melancholy)
TRANSLATED | ru       | Israel     | Noa — Шаг вверх (Step Up)
TRANSLATED | ru       | Israel     | Noa — Сквозь стекло (Through Glass)
TRANSLATED | ru       | Israel     | Noa — Ain’t Loyal
TRANSLATED | ru       | Israel     | Noa — Титаник (Titanic)
TRANSLATED | ru       | Israel     | Noa — Инсомния (Insomnia)
TRANSLATED | he       | Israel     | Aviv Geffen — Or Hayare’ach - אור הירח
TRANSLATED | he       | Israel     | Aviv Geffen — Onot - עונות
TRANSLATED | he       | Israel     | Aviv Geffen — Achshav Meunan - עכשיו מעונן
TRANSLATED | he       | Israel     | Aviv Geffen — Machar - מחר
TRANSLATED | he       | Israel     | Aviv Geffen — Ulay - אולי
TRANSLATED | he       | Israel     | Aviv Geffen — Livkot Lecha - לבכות לך
TRANSLATED | he       | Israel     | Aviv Geffen — Milliard To’eem - מיליארד טועים
TRANSLATED | he       | Israel     | Aviv Geffen — Shir Hasmartutim - שיר הסמרטוטים
TRANSLATED | he       | Israel     | Aviv Geffen — Hashir Shelanu - השיר שלנו
TRANSLATED | he       | Israel     | Aviv Geffen — Mal’ach - מלאך
TRANSLATED | he       | Israel     | Aviv Geffen — Hamichtav - המכתב
TRANSLATED | he       | Israel     | Aviv Geffen — Ani Soneh - אני שונא
TRANSLATED | he       | Israel     | Aviv Geffen — Yoman Masa - יומן מסע
TRANSLATED | he       | Israel     | Aviv Geffen — Ze Rak Halev Shekoev Lach - זה רק הלב שכואב לך
TRANSLATED | he       | Israel     | Aviv Geffen — Ha’im Lihiyot Bach Meohav - האם להיות בך מאוהב
TRANSLATED | he       | Israel     | Aviv Geffen — Al Tidag - אל תדאג
TRANSLATED | he       | Israel     | Aviv Geffen — Sof Ha’olam - סוף העולם
TRANSLATED | he       | Israel     | Aviv Geffen — Ilana - אילנה
TRANSLATED | he       | Israel     | Aviv Geffen — Shir Tikva - שיר תקווה
TRANSLATED | he       | Israel     | Aviv Geffen — Emesh - אמש
TRANSLATED | he       | Israel     | Idan Raichel — Achshav Nish’arnu Shney’nu - עכשיו נשארנו שנינו
TRANSLATED | he       | Israel     | Idan Raichel — Ve’eem Tavo’ee Elay - ואם תבואי אליי
TRANSLATED | he       | Israel     | Idan Raichel — Eem Rak Taskimi - אם רק תסכימי
TRANSLATED | he       | Israel     | Idan Raichel — Ahava Ka’zo  - אהבה כזו
TRANSLATED | he       | Israel     | Idan Raichel — Lifnei She’yigamer - לפני שייגמר
TRANSLATED | he       | Israel     | Idan Raichel — Lama Ze Magi’a Lanu - למה זה מגיע לנו
TRANSLATED | es       | Israel     | Idan Raichel — La Eternidad Que Se Perdió
TRANSLATED | he       | Israel     | Idan Raichel — Katoov Mi’lema’ala - כתוב מלמעלה
TRANSLATED | he       | Israel     | Idan Raichel — Lama Kacha Atzuva - למה ככה עצובה
TRANSLATED | fr       | Israel     | Idan Raichel — Lumiére
TRANSLATED | he       | Israel     | Idan Raichel — Kotzim - קוצים
TRANSLATED | he       | Israel     | Idan Raichel — Galgal Mistovev - גלגל מסתובב
TRANSLATED | he       | Israel     | Idan Raichel — Beresheet - בראשית
TRANSLATED | he       | Israel     | Idan Raichel — Even Al Even (Rega Shel Osher) -  אבן על אבן (רגע של אושר)
TRANSLATED | he       | Israel     | Idan Raichel — Ma’agalim - מעגלים
TRANSLATED | he       | Israel     | Idan Raichel — Mikol Ha’kochavim Ba’layla - מכל הכוכבים בלילה
TRANSLATED | he       | Israel     | Idan Raichel — Ga’agua - געגוע
KEPT       | en       | Israel     | Idan Raichel — Feker Libi (Corona Quarantine)
TRANSLATED | he       | Israel     | Idan Raichel — Kacha Miyom Leyom - ככה מיום ליום
KEPT       | he       | Israel     | Idan Raichel — Lechakot - לחכות
TRANSLATED | es       | Israel     | Yasmin Levy — Una Noche Mas
TRANSLATED | pt       | Israel     | Yasmin Levy — Adio Kerida
TRANSLATED | es       | Israel     | Yasmin Levy — La Alegría
TRANSLATED | es       | Israel     | Yasmin Levy — Me Voy
TRANSLATED | es       | Israel     | Yasmin Levy — Nací En Álamo (Vengo)
TRANSLATED | es       | Israel     | Yasmin Levy — Mi korason
TRANSLATED | es       | Israel     | Yasmin Levy — La Rosa Enflorece
TRANSLATED | pt       | Israel     | Yasmin Levy — Olvidate de Mi
TRANSLATED | es       | Israel     | Yasmin Levy — El amor contigo
TRANSLATED | es       | Israel     | Yasmin Levy — Hallelujah
TRANSLATED | es       | Israel     | Yasmin Levy — Firuze
TRANSLATED | es       | Israel     | Yasmin Levy — Porque
TRANSLATED | id       | Israel     | Yasmin Levy — Odecha
TRANSLATED | es       | Israel     | Yasmin Levy — La Serena
TRANSLATED | es       | Israel     | Yasmin Levy — Recuerdo (Soghati)
TRANSLATED | es       | Israel     | Yasmin Levy — Locura
TRANSLATED | es       | Israel     | Yasmin Levy — Yo En La Prizion
TRANSLATED | es       | Israel     | Yasmin Levy — Irme Kero
TRANSLATED | es       | Israel     | Yasmin Levy — De Edad De Kinze Anyos
TRANSLATED | es       | Israel     | Yasmin Levy — Si veriash
TRANSLATED | he       | Israel     | Arik Einstein — Atur Mitzchech - עטור מצחך
TRANSLATED | he       | Israel     | Arik Einstein — Adon Shoko - אדון שוקו
TRANSLATED | he       | Israel     | Arik Einstein — Ani Ve’ata - אני ואתה
TRANSLATED | he       | Israel     | Arik Einstein — Shabat Baboker - שבת בבוקר
TRANSLATED | he       | Israel     | Arik Einstein — Uf Gozal - עוף גוזל
TRANSLATED | he       | Israel     | Arik Einstein — Sa Le’at - סע לאט
TRANSLATED | he       | Israel     | Arik Einstein — Ma Ata Ose’ Kshe’ata Kam Baboker - מה אתה עושה כשאתה קם בבוקר
TRANSLATED | he       | Israel     | Arik Einstein — Agadat Deshe - אגדת דשא
TRANSLATED | he       | Israel     | Arik Einstein — Halayla Ha’zeh - הלילה הזה
TRANSLATED | he       | Israel     | Arik Einstein — Maya - מאיה
TRANSLATED | he       | Israel     | Arik Einstein — Kama Tov Shebata Habayta - כמה טוב שבאת הביתה
TRANSLATED | he       | Israel     | Arik Einstein — San Francisco Al Hamayim - סן פרנסיסקו על המים
TRANSLATED | he       | Israel     | Arik Einstein — Ze Lo Bediuk Ga’agua - זה לא בדיוק געגוע -
TRANSLATED | he       | Israel     | Arik Einstein — Kshe’at Bocha At Lo Yafa - כשאת בוכה את לא יפה
TRANSLATED | he       | Israel     | Arik Einstein — Shekshenavo - שכשנבוא
TRANSLATED | he       | Israel     | Arik Einstein — Tozeret Ha’aretz - תוצרת הארץ
TRANSLATED | he       | Israel     | Arik Einstein — Kol Ehad Rotze - כל אחד רוצה
TRANSLATED | he       | Israel     | Arik Einstein — Amru Lo - אמרו לו
TRANSLATED | he       | Israel     | Arik Einstein — Od Nipagesh - עוד נפגש
TRANSLATED | he       | Israel     | Arik Einstein — Ohev Lihiyot Babayit - אוהב להיות בבית
KEPT       | en       | Syria      | Omar Souleyman — Warni Warni
KEPT       | en       | Syria      | Omar Souleyman — Wenu Wenu
KEPT       | en       | Syria      | Omar Souleyman — Mawal Jamar
TRANSLATED | so       | Syria      | Omar Souleyman — شو تريدين (Shi Tridin)
KEPT       | en       | Syria      | Omar Souleyman — شلون (Shlon)
TRANSLATED | ar       | Syria      | Omar Souleyman — Layle (Boys Noize Remix)
TRANSLATED | ar       | Syria      | Omar Souleyman — Chobi
TRANSLATED | so       | Syria      | Omar Souleyman — ابو زيليف (Abou Zilif)
TRANSLATED | id       | Syria      | Omar Souleyman — عطيني حُبّة (3tini 7obba)
KEPT       | it       | Syria      | Omar Souleyman — Mawal Menzal
TRANSLATED | ar       | Syria      | Omar Souleyman — ليلي (Layle)
TRANSLATED | ar       | Syria      | Lena Chamamyan — Lama Bada Yatathana - لما بدا يتثنى
TRANSLATED | ar       | Syria      | Lena Chamamyan — Bali Ma’ak - بالي معاك
TRANSLATED | ar       | Syria      | Lena Chamamyan — Ya Msafera - يا مسافرة
TRANSLATED | ar       | Syria      | Lena Chamamyan — Hal Asmar El-Lon - هالأسمر اللون
TRANSLATED | ar       | Syria      | Lena Chamamyan — Hane’sh W Nshoof - هنعيش ونشوف
TRANSLATED | ar       | Syria      | Lena Chamamyan — Kotshina - كوتشينة
TRANSLATED | de       | Syria      | Fairuz — Diva
TRANSLATED | de       | Syria      | Fairuz — Nasib
TRANSLATED | de       | Syria      | Fairuz — Verpasst
TRANSLATED | de       | Syria      | Fairuz — Endorphine
TRANSLATED | de       | Syria      | Fairuz — Liebe nur geliehen
TRANSLATED | de       | Syria      | Fairuz — Beyoncé & Jay-Z
TRANSLATED | de       | Syria      | Fairuz — 1 In A Million
TRANSLATED | de       | Syria      | Fairuz — Ca Va
TRANSLATED | id       | Syria      | Farid al-Atrash — Hebena Hebena - حبينا حبينا
TRANSLATED | ar       | Syria      | Farid al-Atrash — Albi W Moftaho - قلبي ومفتاحه
TRANSLATED | ar       | Syria      | Farid al-Atrash — Ala Baly - على بالي
TRANSLATED | ar       | Syria      | George Wassouf — Helaf El Amar - حلف القمر
TRANSLATED | ar       | Syria      | George Wassouf — Kalam Ennas - كلام الناس
TRANSLATED | ar       | Syria      | George Wassouf — Khesert Koul El Nass - خسرت كل الناس
TRANSLATED | ar       | Syria      | George Wassouf — Kedah Kifayah - كده كفاية
TRANSLATED | ar       | Syria      | George Wassouf — Tabeeb Garah - طبيب جراح
TRANSLATED | ar       | Syria      | George Wassouf — Sayad Al Touyour - صياد الطيور
TRANSLATED | ar       | Syria      | George Wassouf — Salaf W Dayn - سلف ودين
TRANSLATED | ar       | Syria      | George Wassouf — Laiel El Ashekin - ليل العاشقين
TRANSLATED | ar       | Syria      | George Wassouf — Byehsidouni - بيحسدوني
TRANSLATED | ar       | Syria      | George Wassouf — Sa7i El Leil - صاحي الليل
TRANSLATED | ar       | Syria      | George Wassouf — Ana Asef - أنا آسف
TRANSLATED | ar       | Syria      | George Wassouf — Alb Al Asheq Daleiloh - قلب العاشق دليله
TRANSLATED | ar       | Syria      | George Wassouf — Saber W Radi - صابر وراضي
TRANSLATED | ar       | Syria      | George Wassouf — Kalamak Ya Habibi - كلامك يا حبيبي
TRANSLATED | ar       | Syria      | George Wassouf — Sehert El Liel - سهرت الليل
TRANSLATED | ar       | Syria      | George Wassouf — El Hawa Sultan - الهوى سلطان
TRANSLATED | ar       | Syria      | George Wassouf — Ma Teoulou Leeh - ما تقولو ليه
TRANSLATED | ar       | Syria      | George Wassouf — Asaab Fourak - أصعب فراق
TRANSLATED | ar       | Syria      | George Wassouf — Allah Karim - الله كريم
TRANSLATED | ar       | Syria      | George Wassouf — Lailat Wedaena (Ya Habibi) - ليلة وداعنا (يا حبيبي)
TRANSLATED | ar       | Palestine  | DAM — Emta Njawzak Yamma
TRANSLATED | ar       | Palestine  | DAM — Milliardat - ملياردات
TRANSLATED | ar       | Palestine  | DAM — JASADIK-HOM - جسدكهم
TRANSLATED | ar       | Palestine  | DAM — Ben Haana Wa Maana - بين حانة ومانة
KEPT       | en       | Palestine  | DAM — Meen Erhabe (Who’s the Terrorist?) [English Version]
TRANSLATED | ar       | Palestine  | DAM — Prozac - بروزاك
TRANSLATED | ar       | Palestine  | DAM — Dathiruni - دثروني
KEPT       | en       | Palestine  | DAM — #Who_You_R
KEPT       | en       | Palestine  | DAM — Mama, I Fell in Love with a Jew - وقعت بحب يهوديه
TRANSLATED | ar       | Palestine  | DAM — Ya Weli - يا ويلي
TRANSLATED | ar       | Palestine  | DAM — I don’t have freedom - ما الي حرية
TRANSLATED | ar       | Palestine  | DAM — Hada Yidie Sitna - حدا يدعي ستنا
TRANSLATED | ar       | Palestine  | DAM — Stranger in my own country - غريب في بلادي
TRANSLATED | ar       | Palestine  | DAM — If I Could Go Back In Time - لو أرجع بالزمن
TRANSLATED | ar       | Palestine  | DAM — Who`s the Terrorist ( مين إرهابي )
TRANSLATED | ar       | Palestine  | DAM — Change Tomorrow - نغير بكره
TRANSLATED | ar       | Palestine  | DAM — Freedom for My Sisters - الحريه انثى
TRANSLATED | ar       | Palestine  | DAM — Overdose - أوڤيردوس
TRANSLATED | ar       | Palestine  | DAM — Ha’e’e Kfaye - حقيقي كفاية
TRANSLATED | ar       | Palestine  | DAM — Share’20 - شارع ٢٠
TRANSLATED | ar       | Palestine  | Shadia Mansour — Al Kufiyyeh 3arabeyyeh ( الكوفية عربية ) (English version)
TRANSLATED | ar       | Palestine  | Shadia Mansour — كلن عندن دبابات | Kollon 3endon Dababaat (They all have military tanks)
TRANSLATED | ar       | Palestine  | Shadia Mansour — Ro7a Bla Raj3a (Journey of no return) - روحة بلا رجعة
TRANSLATED | ar       | Palestine  | Shadia Mansour — Lezim Netghayar (We have to change) - لازم نتغير
TRANSLATED | ar       | Palestine  | Shadia Mansour — Kellon andon dabbabet (كلن عندن دبابات)
TRANSLATED | ar       | Palestine  | Shadia Mansour — Assalamou Alaykoum - السلام عليكم
TRANSLATED | ar       | Palestine  | Shadia Mansour — Bazam | بزام
TRANSLATED | ar       | Palestine  | Tamer Nafar — Johnnie Mashi - جوني ماشي
TRANSLATED | ar       | Palestine  | Tamer Nafar — Lord of Revolution - إله الثورة
TRANSLATED | ar       | Palestine  | Tamer Nafar — Ya Rit - يا ريت
TRANSLATED | ar       | Palestine  | Tamer Nafar — Kulombus Jinsi - قربي شوي كولومبوس جنسي
TRANSLATED | ar       | Palestine  | Tamer Nafar — Ebn Al Lyd - إبن اللد
TRANSLATED | ar       | Palestine  | Tamer Nafar — GO THERE
KEPT       | en       | Palestine  | Tamer Nafar — Tamer Nafar - Arabs Say Khod
TRANSLATED | ar       | Palestine  | Tamer Nafar — Ana Winti - أنا ونتي
TRANSLATED | ar       | Palestine  | Tamer Nafar — Bab al Shams - باب الشمس
TRANSLATED | ar       | Palestine  | Tamer Nafar — Darbak Khadra Feat Mouna Hawa - دربك خضرا مع منى حوا
TRANSLATED | ar       | Palestine  | Tamer Nafar — Ta lal alef la M E R - من ال-ت لل-أ
TRANSLATED | he       | Palestine  | Tamer Nafar — Seret Aravi - Jigga Juice Remix - סרט ערבי -ג’יגה ג’וס רימיקס
TRANSLATED | ar       | Palestine  | Tamer Nafar — Awal Bawal - أول بأول
TRANSLATED | he       | Palestine  | Tamer Nafar — Mi Ha’terrorist? - ?מי הטרוריסט
TRANSLATED | ar       | Palestine  | Tamer Nafar — Ana Winti Part 2 - أنا وأنتي الجزء الثاني
TRANSLATED | ar       | Palestine  | Tamer Nafar — Korsi - كرسي
KEPT       | en       | Palestine  | Tamer Nafar — Scarlett Johansson Has Gas
TRANSLATED | he       | Palestine  | Tamer Nafar — Long Run Feat. Tamer nafar (HEBREW)
TRANSLATED | ar       | Palestine  | Tamer Nafar — Letter (Tamer) - من ال ي لل أ
TRANSLATED | ar       | Palestine  | Tamer Nafar — Asami - الأسامي
TRANSLATED | ar       | Palestine  | Mohammed Assaf — Dammi Falastini - دمي فلسطيني
TRANSLATED | ar       | Palestine  | Mohammed Assaf — Makanak Khaly - مكانك خالي
TRANSLATED | ar       | Palestine  | Mohammed Assaf — Salam Le Gaza - سلام لغزة
TRANSLATED | ar       | Palestine  | Mohammed Assaf — Baddek Enayah - بدك عناية
TRANSLATED | ar       | Palestine  | Mohammed Assaf — Rani - راني
TRANSLATED | ar       | Palestine  | Mohammed Assaf — عللومة عللومة
KEPT       | en       | Palestine  | Saint Levant — KALAMANTINA - كلمنتينا
KEPT       | en       | Palestine  | Saint Levant — Very Few Friends
TRANSLATED | ar       | Palestine  | Saint Levant — NARI NARI NARI - ناري ناري ناري
KEPT       | en       | Palestine  | Saint Levant — Nails
KEPT       | en       | Palestine  | Saint Levant — From Gaza, With Love
TRANSLATED | ar       | Palestine  | Saint Levant — DO YOU LOVE ME? - سنيورة
TRANSLATED | ar       | Palestine  | Saint Levant — WAZIRA - وزيرة
KEPT       | en       | Palestine  | Saint Levant — I Guess
KEPT       | en       | Palestine  | Saint Levant — FaceTime
KEPT       | en       | Palestine  | Saint Levant — Forgive Me
KEPT       | en       | Palestine  | Saint Levant — EXILE - معاكي
KEPT       | en       | Palestine  | Saint Levant — Galbi
TRANSLATED | ar       | Palestine  | Saint Levant — DALOONA - دلعونة
TRANSLATED | ar       | Palestine  | Saint Levant — Allah Yihmeeki
KEPT       | en       | Palestine  | Saint Levant — Deira
KEPT       | en       | Palestine  | Saint Levant — DIVA - بنت الذهبية
TRANSLATED | fr       | Palestine  | Saint Levant — 5am in Paris
TRANSLATED | ar       | Palestine  | Saint Levant — SAMRA - سمرة
KEPT       | en       | Palestine  | Saint Levant — WAIN MAADY WAIN - وين معدي وين
KEPT       | en       | Palestine  | Saint Levant — Between the Lines
KEPT       | en       | Palestine  | Bashar Murad — Wild West
TRANSLATED | no       | Palestine  | Bashar Murad — Vestrið villt
KEPT       | en       | Palestine  | Bashar Murad — Stone
TRANSLATED | ar       | Palestine  | Bashar Murad — Maskhara (مسخرة)
KEPT       | en       | Palestine  | Mahmoud Darwish — Identity card (English version) - بطاقة هوية
TRANSLATED | ar       | Palestine  | Mahmoud Darwish — بطاقة هوية ( An Identity Card)
TRANSLATED | fr       | Palestine  | Mahmoud Darwish — À ma mère
KEPT       | en       | Palestine  | Mahmoud Darwish — Who am I , without exile?
TRANSLATED | fr       | Palestine  | Mahmoud Darwish — بطاقة هوية - Carte d’identité (Version française)
KEPT       | en       | Palestine  | Mahmoud Darwish — My God, Why Did You Forsake Me?
TRANSLATED | ar       | Palestine  | Mahmoud Darwish — فكّر بغيرك
KEPT       | en       | Palestine  | Mahmoud Darwish — Eleven Stars Over Andalusia
KEPT       | en       | Palestine  | Mahmoud Darwish — The dice player
KEPT       | en       | Palestine  | Mahmoud Darwish — Identity Card
TRANSLATED | ru       | Russia     | Monetochka — Селфхарм (Selfharm)
TRANSLATED | ru       | Russia     | Monetochka — Каждый раз (Every Time)
TRANSLATED | ru       | Russia     | Monetochka — Кис Кис Кис (Kis Kis Kis)
TRANSLATED | ru       | Russia     | Monetochka — Нимфоманка (Nymphomaniac)
TRANSLATED | ru       | Russia     | Monetochka — Это было в России (It Was in Russia)
TRANSLATED | ru       | Russia     | Monetochka — Нет монет (No Coins)
TRANSLATED | ru       | Russia     | Monetochka — Последняя дискотека (The Last Disco)
TRANSLATED | ru       | Russia     | Monetochka — Монополия (Monopoly)
TRANSLATED | ru       | Russia     | Monetochka — Твоё имя (Your Name)
TRANSLATED | ru       | Russia     | Monetochka — 90
TRANSLATED | ru       | Russia     | Monetochka — Ты солдат (You Are a Soldier)*
TRANSLATED | ru       | Russia     | Monetochka — Пост-пост (Post-post)
TRANSLATED | ru       | Russia     | Monetochka — Русский ковчег (Russian Ark)
TRANSLATED | ru       | Russia     | Monetochka — Запорожец (Zaporozhets)
TRANSLATED | ru       | Russia     | Monetochka — Ночной ларёк (Night Stall)
TRANSLATED | ru       | Russia     | IC3PEAK — Смерти больше нет (No More Death)
TRANSLATED | ru       | Russia     | IC3PEAK — Грустная сука (Sad Bitch)
KEPT       | en       | Russia     | IC3PEAK — TRRST
TRANSLATED | ru       | Russia     | IC3PEAK — Сказка (Fairytale)
TRANSLATED | ru       | Russia     | IC3PEAK — Плак-Плак (Boo-Hoo)
TRANSLATED | ru       | Russia     | IC3PEAK — Весело и грустно (Happy and Sad)
TRANSLATED | ru       | Russia     | IC3PEAK — Пламя (Flame)
TRANSLATED | ru       | Russia     | IC3PEAK — Таблетки (Pills)
TRANSLATED | ru       | Russia     | IC3PEAK — VAMPIR
TRANSLATED | ru       | Russia     | IC3PEAK — Марш (Marching)
TRANSLATED | ru       | Russia     | IC3PEAK — Зеркало (Mirror)
TRANSLATED | ru       | Russia     | IC3PEAK — Привет (Hello)
TRANSLATED | ru       | Russia     | IC3PEAK — Яма (Hole)
KEPT       | en       | Russia     | IC3PEAK — This World Is Sick
TRANSLATED | ru       | Russia     | IC3PEAK — Красота и сила (Beauty and Strength)
TRANSLATED | ar       | Syria      | Assala Nasri — Qad El Horoof - قد الحروف
TRANSLATED | ar       | Syria      | Assala Nasri — Fouq - فوووق
TRANSLATED | ar       | Syria      | Assala Nasri — 60 Dqiqa Haiah - ٦٠ دقيقة حياة
TRANSLATED | ar       | Syria      | Assala Nasri — El Ward El Balady - الورد البلدي
TRANSLATED | ar       | Syria      | Assala Nasri — Sabb Farhety - سبب فرحتي
TRANSLATED | ar       | Syria      | Assala Nasri — Ensan - إنسان
TRANSLATED | ar       | Syria      | Assala Nasri — Soaal Basit - سؤال بسيط
TRANSLATED | ar       | Syria      | Assala Nasri — Aman Aman - أمان أمان
TRANSLATED | ar       | Syria      | Assala Nasri — Boaadak Ani - بعدك عني
TRANSLATED | ar       | Syria      | Assala Nasri — Sandooq - صندوق
TRANSLATED | ar       | Syria      | Assala Nasri — Sid Lghram - سيد الغرام
TRANSLATED | ar       | Syria      | Assala Nasri — Aktar - أكتر
TRANSLATED | ar       | Syria      | Assala Nasri — Shokran - شكراً
TRANSLATED | ar       | Syria      | Assala Nasri — Ya Magnon - يا مجنون
TRANSLATED | ar       | Syria      | Assala Nasri — Asfa - آسفة
TRANSLATED | ar       | Syria      | Sabah Fakhri — هيمتني
TRANSLATED | ar       | Syria      | Sabah Fakhri — Kol lel Maliha
TRANSLATED | ar       | Syria      | Sabah Fakhri — samra’a
TRANSLATED | ar       | Syria      | Warda Al-Jazairia — Batwanes Beek - بتونس بيك
TRANSLATED | ar       | Syria      | Warda Al-Jazairia — Laialeena - ليالينا
TRANSLATED | ar       | Syria      | Warda Al-Jazairia — Lola El Malama - لولا الملامة
TRANSLATED | ar       | Syria      | Warda Al-Jazairia — Haramt Ahebak - حرمت أحبك
TRANSLATED | ar       | Syria      | Warda Al-Jazairia — Hekayty Maa El Zaman - حكايتي مع الزمان
TRANSLATED | ar       | Syria      | Warda Al-Jazairia — Tab Wana Maly - طب وأنا مالي
TRANSLATED | ar       | Syria      | Warda Al-Jazairia — Bawadaak - بودعك
TRANSLATED | ar       | Syria      | Warda Al-Jazairia — Nar El Ghera - نار الغيرة
TRANSLATED | ar       | Syria      | Warda Al-Jazairia — Wahashtony - وحشتوني
TRANSLATED | ar       | Syria      | Warda Al-Jazairia — El Baghbaghan - البغبغان
TRANSLATED | ar       | Syria      | Warda Al-Jazairia — Eshtrony - إشتروني
TRANSLATED | ar       | Syria      | Warda Al-Jazairia — Ana Arfa - أنا عارفة
TRANSLATED | ar       | Syria      | Warda Al-Jazairia — Hobak Salehne - حبك صالحني
TRANSLATED | ar       | Syria      | Warda Al-Jazairia — Ya Sidi - يا سيدي
TRANSLATED | ar       | Syria      | Warda Al-Jazairia — Ana Leya Men Gherak - أنا ليا مين غيرك
TRANSLATED | ar       | Syria      | Mayada El Hennawy — El Hob Elly Kan - الحب اللي كان
TRANSLATED | ar       | Syria      | Mayada El Hennawy — Bayent El Hob Alaya - بينت الحب عليا
TRANSLATED | ar       | Syria      | Mayada El Hennawy — El Shams - الشمس
TRANSLATED | ar       | Syria      | Mayada El Hennawy — Ana Baashaak - أنا بعشقك
TRANSLATED | ar       | Syria      | Mayada El Hennawy — Kaloly Ansa - قالولي أنسى
TRANSLATED | ar       | Syria      | Mayada El Hennawy — Seboly Albi - سيبولي قلبي
TRANSLATED | ar       | Syria      | Mayada El Hennawy — Habet Zekraiat - حبة ذكريات
TRANSLATED | ar       | Syria      | Mayada El Hennawy — Betebeaid Any - بتبعد عني
TRANSLATED | ar       | Syria      | Mayada El Hennawy — Ana Mokhlesalak - أنا مخلصالك
TRANSLATED | ar       | Syria      | Mayada El Hennawy — Ahebany Kama Ana - أحبني كما أنا
TRANSLATED | ar       | Syria      | Mayada El Hennawy — Ghayart Haytey - غيرت حياتي
TRANSLATED | ar       | Syria      | Mayada El Hennawy — Kebriaay - كبريائي
TRANSLATED | ar       | Syria      | Mayada El Hennawy — Toba - توبة
TRANSLATED | ar       | Syria      | Mayada El Hennawy — Galak Kalamy - جالك كلامي
TRANSLATED | ar       | Syria      | Mayada El Hennawy — Mahma Aghany - مهما أغني
TRANSLATED | ar       | Syria      | Samo Zaen — Ana Leek - أنا ليك
TRANSLATED | ar       | Syria      | Samo Zaen — Arraby Leya - قربي ليا
TRANSLATED | ar       | Syria      | Samo Zaen — Laanek Meaaya - لأنك معايا
TRANSLATED | ar       | Syria      | Samo Zaen — Taala Bas - تعالى بس
TRANSLATED | ar       | Syria      | Samo Zaen — El Ward El Ahmar - الورد الأحمر
TRANSLATED | ar       | Syria      | Samo Zaen — Arbah Huroof - أربع حروف
TRANSLATED | ar       | Syria      | Samo Zaen — Ayez Meny Eih - عايز مني إيه
TRANSLATED | ar       | Syria      | Samo Zaen — Di Habebti - دي حبيبتي
TRANSLATED | ar       | Syria      | Samo Zaen — Helemt Beeky - حلمت بيكي
TRANSLATED | ar       | Syria      | Samo Zaen — Hataraf Amtey - هتعرف قيمتي
TRANSLATED | ar       | Syria      | Samo Zaen — Fi Ashek - في عشقك
TRANSLATED | ar       | Syria      | Samo Zaen — Aady - عادي
TRANSLATED | ar       | Syria      | Samo Zaen — El Masal (El Asal) - المثل (العسل)
TRANSLATED | ar       | Syria      | Samo Zaen — Faris Ahlamek - فارس أحلامك
TRANSLATED | ar       | Syria      | Samo Zaen — Taleaa Le Mein - طالع لمين
TRANSLATED | ar       | Palestine  | Rim Banna — Supply me with an excess of love - زدني بفرط الحب
TRANSLATED | ar       | Palestine  | Rim Banna — يا شعوب الشرق
TRANSLATED | ar       | Palestine  | Rim Banna — Sarah
TRANSLATED | ar       | Palestine  | Rim Banna — Aftert You Left - من بعدك
TRANSLATED | ar       | Palestine  | Nai Barghouti — Ghandara
TRANSLATED | ar       | Palestine  | Mashrou Leila — Ma Tetrikni Heik - ما تتركني هيك
TRANSLATED | ar       | Palestine  | Mashrou Leila — Fasateen - فساتين
TRANSLATED | ar       | Palestine  | Mashrou Leila — Raksit Leila - رقصة ليلى
TRANSLATED | ar       | Palestine  | Mashrou Leila — Shim el Yasmine - شم الياسمين
TRANSLATED | ar       | Palestine  | Mashrou Leila — Comrades - أصحابي
