artist,country,song_title,year,original_lang,translated,compound,positive,negative,neutral,period
Pussy Riot,Russia,1312,2020,en,False,-0.9969,0.105,0.227,0.667,pre
Pussy Riot,Russia,CHAIKA (Чайка),2016,ru,True,0.9984,0.216,0.075,0.709,pre
Pussy Riot,Russia,Organs (органы),2016,ru,True,-0.9888,0.017,0.191,0.793,pre
Pussy Riot,Russia,I Can’t Breathe,,en,False,-0.9636,0.096,0.161,0.743,post
Pussy Riot,Russia,PANIC ATTACK,2021,en,False,-0.9965,0.087,0.262,0.651,pre
Pussy Riot,Russia,Bad Apples,2018,en,False,-0.9945,0.089,0.208,0.703,pre
Pussy Riot,Russia,RAGE,2021,ru,True,-0.9997,0.103,0.438,0.459,pre
Pussy Riot,Russia,1937,2019,ru,True,-0.7024,0.173,0.196,0.631,pre
Pussy Riot,Russia,RIOT,2020,en,False,-0.9977,0.12,0.348,0.532,pre
Pussy Riot,Russia,ЧЁРНЫЕ СНЕЖКИ (BLACK SNOW),2019,ru,True,-0.9933,0.045,0.125,0.83,pre
Pussy Riot,Russia,Путин научит тебя любить Родину (Putin will teach you how to love Motherland),2014,ru,True,0.9932,0.206,0.074,0.72,pre
Pussy Riot,Russia,Track About Good Cop,2018,ru,True,0.9852,0.139,0.044,0.817,pre
Pussy Riot,Russia,TOXIC,2021,en,False,-0.9839,0.188,0.25,0.562,pre
DDT,Russia,Hey Steve,,en,False,-0.8305,0.106,0.149,0.745,post
DDT,Russia,Walkabout,,en,False,-0.919,0.125,0.146,0.729,post
DDT,Russia,McDDT,,en,False,-0.9957,0.063,0.167,0.77,post
DDT,Russia,Blue Hair Crime,,en,False,-0.9997,0.006,0.584,0.41,post
DDT,Russia,Can’t Take My Eyes Off You,,en,False,0.7149,0.091,0.082,0.826,post
DDT,Russia,Pistol Whip,,en,False,-0.9783,0.079,0.237,0.684,post
DDT,Russia,Lie Detector,,en,False,0.8437,0.091,0.074,0.836,post
DDT,Russia,Unsaid,,en,False,-0.1779,0.067,0.06,0.873,post
DDT,Russia,Chlorine,,en,False,-0.9711,0.054,0.165,0.781,post
DDT,Russia,Styrofoam,,en,False,-0.9889,0.101,0.228,0.671,post
DDT,Russia,Overripe,,en,False,-0.6969,0.045,0.091,0.864,post
DDT,Russia,Liquid,,en,False,-0.6167,0.112,0.148,0.74,post
DDT,Russia,Boring,,en,False,-0.9709,0.045,0.235,0.72,post
Yuri Shevchuk,Russia,Дрон (Drone),2023,ru,True,0.9908,0.163,0.097,0.74,post
Yuri Shevchuk,Russia,Волки в тире (Wolves in the Range),2023,ru,True,-0.2586,0.13,0.136,0.734,post
Yuri Shevchuk,Russia,"Родина, вернись домой (Motherland, Come Home)",2023,ru,True,-0.9399,0.091,0.127,0.782,post
Yuri Shevchuk,Russia,Капитан Колесников (Captain Kolesnikov),2007,ru,True,-0.9022,0.056,0.134,0.81,pre
Yuri Shevchuk,Russia,Чайковский (Tchaikovsky),2023,ru,True,0.8291,0.199,0.182,0.619,post
Yuri Shevchuk,Russia,Я завтра брошу пить (I’ll quit drinking tomorrow),1982,ru,True,0.8977,0.091,0.054,0.855,pre
Yuri Shevchuk,Russia,Новая жизнь (New Life),,ru,True,0.8055,0.102,0.065,0.834,post
Yuri Shevchuk,Russia,Похороны войны (Funeral of the War),2023,ru,True,-0.8963,0.174,0.206,0.62,post
Yuri Shevchuk,Russia,Пчела (Bee),2023,ru,True,-0.9429,0.015,0.12,0.865,post
Yuri Shevchuk,Russia,Танцы (Dance),2023,ru,True,-0.7881,0.136,0.148,0.716,post
Yuri Shevchuk,Russia,Надежда (Hope),2023,ru,True,-0.4337,0.097,0.107,0.796,post
Yuri Shevchuk,Russia,Доктор Лиза (Doctor Liza),2020,ru,True,0.9371,0.132,0.053,0.816,pre
Yuri Shevchuk,Russia,Антонина (песня из к/ф «Антонина обернулась») [A (sftf ”Ata”)],2007,ru,True,-0.7749,0.083,0.099,0.817,pre
Yuri Shevchuk,Russia,Потоп (Flood),2023,ru,True,0.9601,0.096,0.044,0.86,post
Yuri Shevchuk,Russia,Прекрасная любовь (Beautiful Love),,ru,True,0.9925,0.32,0.137,0.544,post
Yuri Shevchuk,Russia,Галя Ходи (Galya Go),1982,ru,True,0.9373,0.124,0.054,0.822,pre
Yuri Shevchuk,Russia,Прогулки по воде (Walk on the water),1993,ru,True,-0.959,0.028,0.11,0.862,pre
Yuri Shevchuk,Russia,Новогодняя (New Year Song),1982,ru,True,0.9629,0.113,0.026,0.861,pre
Yuri Shevchuk,Russia,"Расстреляли рассветами (Live, 2022) (Shot by dawns)",2000,ru,True,0.9013,0.161,0.125,0.714,pre
Yuri Shevchuk,Russia,Париж (Paris),2025,ru,True,0.5695,0.088,0.07,0.842,post
David Broza,Israel,Mitachat Lashamayim - מתחת לשמיים,1991,he,True,0.9852,0.22,0.016,0.764,pre
David Broza,Israel,Yihiye Tov - יהיה טוב,1980,he,True,0.9962,0.207,0.046,0.747,pre
David Broza,Israel,Betsohorey Hayom - בצהרי היום,1991,he,True,0.9954,0.139,0.031,0.83,pre
David Broza,Israel,Sigaliot - סיגליות,1983,he,True,0.9366,0.123,0.082,0.795,pre
David Broza,Israel,Ha’isha She’iti - האישה שאיתי,1983,he,True,0.9819,0.16,0.055,0.784,pre
David Broza,Israel,Belibech - בלבך,1983,he,True,0.8555,0.153,0.071,0.776,pre
David Broza,Israel,Shir Ahava Bedui - שיר אהבה בדואי,1980,he,True,0.9488,0.115,0.052,0.833,pre
David Broza,Israel,Ramito de Violetas,2023,es,True,0.9865,0.151,0.062,0.787,post
David Broza,Israel,Noladet Bishvili - נולדת בשבילי,1983,he,True,-0.0046,0.133,0.147,0.72,pre
David Broza,Israel,Raquel,2000,es,True,0.7906,0.089,0.029,0.882,pre
David Broza,Israel,Elohim Letzidenu - אלוהים לצידנו,1982,he,True,-0.3182,0.098,0.1,0.801,pre
David Broza,Israel,Untitled,2010,en,False,0.9595,0.171,0.0,0.829,pre
David Broza,Israel,Night Dawn (Silver Dollar),2010,en,False,0.5994,0.171,0.186,0.642,pre
David Broza,Israel,Al Tishali Eem Ani Ohev - אל תשאלי אם אני אוהב,,he,True,0.8435,0.13,0.093,0.777,post
David Broza,Israel,La Mujer Que Yo Quiero,2023,es,True,0.9912,0.26,0.112,0.629,post
David Broza,Israel,Dentro de Tu Alma,2023,es,True,0.8439,0.159,0.09,0.751,post
David Broza,Israel,Srochim - שרוכים,1982,he,True,0.862,0.123,0.064,0.813,pre
David Broza,Israel,Daniela - דניאלה,1982,he,True,-0.808,0.032,0.075,0.893,pre
David Broza,Israel,Susim Yafim - סוסים יפים,2021,he,True,0.8059,0.102,0.027,0.871,pre
David Broza,Israel,Señorita - סניוריטה,1980,he,True,0.926,0.078,0.043,0.879,pre
Yehuda Poliker,Israel,Halon Layam Hatichon - חלון לים התיכון,1988,he,True,0.7845,0.105,0.069,0.826,pre
Yehuda Poliker,Israel,Perach - פרח,1990,he,True,-0.9493,0.11,0.207,0.682,pre
Yehuda Poliker,Israel,Dvarim She’ratziti Lomar - דברים שרציתי לומר,1990,he,True,0.9803,0.179,0.1,0.722,pre
Yehuda Poliker,Israel,Panim Mul Panim - פנים אל מול פנים,1997,he,True,0.9878,0.228,0.0,0.772,pre
Yehuda Poliker,Israel,Kashe Biladayich - קשה בלעדייך,2024,he,True,0.9801,0.207,0.074,0.719,post
Yehuda Poliker,Israel,Boker Yom Rishon - בוקר יום ראשון,1985,he,True,-0.6862,0.065,0.122,0.813,pre
Yehuda Poliker,Israel,Efer Ve’avak - אפר ואבק,1988,he,True,-0.7383,0.037,0.079,0.885,pre
Yehuda Poliker,Israel,Romeo - רומיאו,2003,he,True,0.9952,0.236,0.067,0.697,pre
Yehuda Poliker,Israel,Hatzel Ve’ani - הצל ואני,1990,he,True,-0.7059,0.048,0.086,0.866,pre
Yehuda Poliker,Israel,Katzar Poh Kol Kach Haviv - קצר פה כל כך האביב,2011,he,True,0.8422,0.119,0.09,0.791,pre
Yehuda Poliker,Israel,Kshetigdal - כשתגדל,1988,he,True,-0.8536,0.006,0.062,0.932,pre
Yehuda Poliker,Israel,Einaim Sheli - עיניים שלי,1985,he,True,0.6444,0.066,0.021,0.913,pre
Yehuda Poliker,Israel,Pahot Aval Ko’ev - פחות אבל כואב,1990,he,True,-0.9983,0.024,0.348,0.628,pre
Yehuda Poliker,Israel,Yoram - יורם,1990,he,True,0.9179,0.143,0.07,0.786,pre
Yehuda Poliker,Israel,Hatchala Chadasha - התחלה חדשה,,he,True,0.8625,0.125,0.115,0.761,post
Yehuda Poliker,Israel,Meuchar Ulay Mukdam - מאוחר אולי מוקדם,1998,he,False,0.0,0.0,0.0,1.0,pre
Yehuda Poliker,Israel,Cain - קין,1995,he,True,0.7484,0.205,0.176,0.619,pre
Yehuda Poliker,Israel,Ech Korim La’ahava Sheli - איך קוראים לאהבה שלי,2001,he,True,0.9914,0.203,0.089,0.708,pre
Yehuda Poliker,Israel,Zinguala - זינגואלה,1992,he,True,0.9451,0.155,0.026,0.819,pre
Subliminal,Israel,Torro - טורו,2006,he,True,0.9748,0.109,0.069,0.822,pre
Subliminal,Israel,Ba’a Li Tov - באה לי טוב,2012,he,True,0.9968,0.199,0.032,0.769,pre
Subliminal,Israel,Chalom Shel Kol Gever - חלום של כל גבר,2015,he,True,0.9982,0.197,0.017,0.786,pre
Subliminal,Israel,Peace In The Middle East,2011,en,False,-0.9981,0.055,0.18,0.765,pre
Subliminal,Israel,Bat 60 - בת 60,2011,he,True,0.9965,0.117,0.018,0.865,pre
Subliminal,Israel,Ha’adrichalim - האדריכלים,2001,he,True,0.9861,0.135,0.093,0.772,pre
Subliminal,Israel,Hai Meyom Leyom - חי מיום ליום,2001,he,True,-0.8636,0.124,0.138,0.738,pre
Subliminal,Israel,TACT Allstars - תאקט אולסטארז,2004,he,True,-0.0671,0.087,0.097,0.816,pre
Subliminal,Israel,Prachim Baka’ne - פרחים בקנה,2012,he,True,0.9829,0.113,0.06,0.827,pre
Subliminal,Israel,Tizaher Mimena - תיזהר ממנה,2012,he,True,0.9974,0.222,0.017,0.761,pre
Subliminal,Israel,Yoter Meze Anachnu Lo Tzrichim - יותר מזה אנחנו לא צריכים,2014,he,True,-0.9246,0.07,0.093,0.837,pre
Subliminal,Israel,I like It - איי לייק איט (משאולין לתל אביב),2004,he,True,-0.9932,0.107,0.161,0.731,pre
Subliminal,Israel,Yesh Lanu Ahava - יש לנו אהבה,2012,he,True,0.9986,0.291,0.003,0.706,pre
Subliminal,Israel,Mami - מאמי,2012,he,True,0.9961,0.14,0.032,0.828,pre
Subliminal,Israel,Beit Hasefer Hayashan - בית הספר הישן,2001,he,True,0.8845,0.142,0.127,0.731,pre
Subliminal,Israel,Klasit Ve’parsi - קלאסית ופרסי,2006,en,False,0.9772,0.068,0.013,0.919,pre
Subliminal,Israel,Banu Hoshech Legaresh - באנו חושך לגרש,2001,he,True,-0.6792,0.084,0.252,0.664,pre
Subliminal,Israel,Florentine - פלורנטין,2017,he,True,0.9949,0.113,0.054,0.832,pre
Subliminal,Israel,Tamid Kadima - תמיד קדימה,2020,he,True,0.695,0.079,0.061,0.861,pre
Subliminal,Israel,Me T.A Le L.A - מת”א לל”א,2001,he,True,-0.9358,0.108,0.117,0.775,pre
Noa,Israel,Плоский круг (Flat Circle),2016,ru,True,0.3318,0.086,0.081,0.832,pre
Noa,Israel,Будем (Will Be),2017,ru,True,0.9679,0.292,0.183,0.525,pre
Noa,Israel,Вся моя (All Mine),2017,ru,True,0.3881,0.094,0.097,0.809,pre
Noa,Israel,Mikasa,2017,ru,True,-0.9953,0.096,0.179,0.725,pre
Noa,Israel,Старые друзья (Old Friends),2018,ru,True,0.9933,0.228,0.06,0.712,pre
Noa,Israel,стрелы в сердце (arrows in the heart),2019,ru,True,0.8338,0.105,0.118,0.776,pre
Noa,Israel,Как есть (As It Is),2017,ru,True,0.9275,0.151,0.091,0.758,pre
Noa,Israel,ты выбрал это сам (you chose this yourself),2019,ru,True,-0.9912,0.111,0.195,0.693,pre
Noa,Israel,Вдвоём (Together),2016,ru,True,-0.9729,0.055,0.16,0.785,pre
Noa,Israel,Hurt,2016,ru,True,-0.9951,0.141,0.306,0.553,pre
Noa,Israel,Дома (At Home),2016,ru,True,-0.3922,0.079,0.058,0.863,pre
Noa,Israel,Вопрос ответ (Question Answer),2016,ru,True,-0.7476,0.031,0.081,0.888,pre
Noa,Israel,Не важно (Never Mind),2018,ru,True,-0.9968,0.086,0.227,0.687,pre
Noa,Israel,Амулет (Amulet),2017,ru,True,0.9335,0.164,0.032,0.804,pre
Noa,Israel,Тоска (Melancholy),2018,ru,True,-0.9943,0.003,0.158,0.839,pre
Noa,Israel,Шаг вверх (Step Up),2017,ru,True,0.9683,0.136,0.093,0.772,pre
Noa,Israel,Сквозь стекло (Through Glass),2016,ru,True,0.9978,0.3,0.037,0.663,pre
Noa,Israel,Ain’t Loyal,2018,ru,True,-0.7574,0.116,0.127,0.758,pre
Noa,Israel,Титаник (Titanic),2017,ru,True,-0.963,0.009,0.1,0.891,pre
Noa,Israel,Инсомния (Insomnia),2016,ru,True,-0.9839,0.039,0.114,0.847,pre
Aviv Geffen,Israel,Or Hayare’ach - אור הירח,1992,he,True,0.0516,0.07,0.064,0.866,pre
Aviv Geffen,Israel,Onot - עונות,1996,he,True,0.9871,0.189,0.083,0.728,pre
Aviv Geffen,Israel,Achshav Meunan - עכשיו מעונן,1993,he,True,-0.8625,0.031,0.092,0.877,pre
Aviv Geffen,Israel,Machar - מחר,2006,he,True,0.9424,0.159,0.057,0.784,pre
Aviv Geffen,Israel,Ulay - אולי,1993,he,True,0.9808,0.27,0.029,0.701,pre
Aviv Geffen,Israel,Livkot Lecha - לבכות לך,1996,he,True,-0.492,0.093,0.102,0.805,pre
Aviv Geffen,Israel,Milliard To’eem - מיליארד טועים,1992,he,True,0.9693,0.18,0.083,0.737,pre
Aviv Geffen,Israel,Shir Hasmartutim - שיר הסמרטוטים,1993,he,True,-0.0649,0.17,0.165,0.665,pre
Aviv Geffen,Israel,Hashir Shelanu - השיר שלנו,1999,he,True,-0.5297,0.126,0.154,0.72,pre
Aviv Geffen,Israel,Mal’ach - מלאך,1995,he,True,0.7449,0.124,0.077,0.799,pre
Aviv Geffen,Israel,Hamichtav - המכתב,1996,he,True,-0.9668,0.067,0.172,0.761,pre
Aviv Geffen,Israel,Ani Soneh - אני שונא,1993,he,True,-0.9916,0.15,0.309,0.541,pre
Aviv Geffen,Israel,Yoman Masa - יומן מסע,2000,he,True,0.9413,0.147,0.056,0.797,pre
Aviv Geffen,Israel,Ze Rak Halev Shekoev Lach - זה רק הלב שכואב לך,2006,he,True,0.9946,0.301,0.121,0.578,pre
Aviv Geffen,Israel,Ha’im Lihiyot Bach Meohav - האם להיות בך מאוהב,1994,he,True,0.9282,0.212,0.129,0.659,pre
Aviv Geffen,Israel,Al Tidag - אל תדאג,1993,he,True,0.8517,0.183,0.09,0.727,pre
Aviv Geffen,Israel,Sof Ha’olam - סוף העולם,1997,he,True,-0.0165,0.111,0.128,0.761,pre
Aviv Geffen,Israel,Ilana - אילנה,1993,he,True,0.9638,0.227,0.058,0.715,pre
Aviv Geffen,Israel,Shir Tikva - שיר תקווה,1997,he,True,0.9652,0.272,0.0,0.728,pre
Aviv Geffen,Israel,Emesh - אמש,1992,he,True,0.8481,0.098,0.045,0.857,pre
Idan Raichel,Israel,Achshav Nish’arnu Shney’nu - עכשיו נשארנו שנינו,2019,he,True,0.887,0.088,0.019,0.893,pre
Idan Raichel,Israel,Ve’eem Tavo’ee Elay - ואם תבואי אליי,2018,he,True,0.9815,0.112,0.013,0.875,pre
Idan Raichel,Israel,Eem Rak Taskimi - אם רק תסכימי,2019,he,True,0.9922,0.214,0.009,0.777,pre
Idan Raichel,Israel,Ahava Ka’zo  - אהבה כזו,2017,he,True,0.9962,0.21,0.098,0.692,pre
Idan Raichel,Israel,Lifnei She’yigamer - לפני שייגמר,2015,he,True,0.9959,0.163,0.054,0.783,pre
Idan Raichel,Israel,Lama Ze Magi’a Lanu - למה זה מגיע לנו,2018,he,True,0.886,0.091,0.06,0.849,pre
Idan Raichel,Israel,La Eternidad Que Se Perdió,2019,es,True,-0.9382,0.094,0.149,0.757,pre
Idan Raichel,Israel,Katoov Mi’lema’ala - כתוב מלמעלה,2019,he,True,-0.8305,0.069,0.093,0.837,pre
Idan Raichel,Israel,Lama Kacha Atzuva - למה ככה עצובה,2020,he,True,0.9808,0.149,0.048,0.802,pre
Idan Raichel,Israel,Lumiére,2019,fr,True,-0.6124,0.064,0.099,0.837,pre
Idan Raichel,Israel,Kotzim - קוצים,2010,he,True,0.2182,0.04,0.02,0.939,pre
Idan Raichel,Israel,Galgal Mistovev - גלגל מסתובב,2017,he,True,0.6442,0.074,0.049,0.877,pre
Idan Raichel,Israel,Beresheet - בראשית,2018,he,True,0.9709,0.128,0.042,0.83,pre
Idan Raichel,Israel,Even Al Even (Rega Shel Osher) -  אבן על אבן (רגע של אושר),2021,he,True,0.9558,0.136,0.08,0.784,pre
Idan Raichel,Israel,Ma’agalim - מעגלים,2015,he,True,0.802,0.088,0.022,0.89,pre
Idan Raichel,Israel,Mikol Ha’kochavim Ba’layla - מכל הכוכבים בלילה,2020,he,True,0.9686,0.114,0.048,0.838,pre
Idan Raichel,Israel,Ga’agua - געגוע,2015,he,True,0.9217,0.131,0.102,0.767,pre
Idan Raichel,Israel,Feker Libi (Corona Quarantine),2020,en,False,0.9953,0.222,0.029,0.749,pre
Idan Raichel,Israel,Kacha Miyom Leyom - ככה מיום ליום,2021,he,True,0.9838,0.134,0.045,0.821,pre
Idan Raichel,Israel,Lechakot - לחכות,2015,he,False,0.0,0.0,0.0,1.0,pre
Yasmin Levy,Israel,Una Noche Mas,,es,True,0.8022,0.122,0.095,0.782,post
Yasmin Levy,Israel,Adio Kerida,2007,pt,True,-0.0966,0.177,0.216,0.608,pre
Yasmin Levy,Israel,La Alegría,,es,True,-0.7625,0.147,0.185,0.667,post
Yasmin Levy,Israel,Me Voy,,es,True,0.6186,0.157,0.065,0.778,post
Yasmin Levy,Israel,Nací En Álamo (Vengo),,es,True,0.2263,0.156,0.176,0.668,post
Yasmin Levy,Israel,Mi korason,2009,es,True,0.975,0.285,0.083,0.631,pre
Yasmin Levy,Israel,La Rosa Enflorece,2012,es,True,0.0772,0.235,0.233,0.532,pre
Yasmin Levy,Israel,Olvidate de Mi,2012,pt,True,0.7745,0.233,0.252,0.515,pre
Yasmin Levy,Israel,El amor contigo,2009,es,True,0.9731,0.203,0.142,0.655,pre
Yasmin Levy,Israel,Hallelujah,2009,es,True,0.9989,0.521,0.125,0.354,pre
Yasmin Levy,Israel,Firuze,,es,True,-0.7338,0.173,0.217,0.61,post
Yasmin Levy,Israel,Porque,2009,es,True,0.1335,0.117,0.113,0.77,pre
Yasmin Levy,Israel,Odecha,2007,id,True,0.0,0.0,0.0,1.0,pre
Yasmin Levy,Israel,La Serena,,es,True,-0.25,0.099,0.139,0.762,post
Yasmin Levy,Israel,Recuerdo (Soghati),,es,True,-0.8225,0.093,0.174,0.733,post
Yasmin Levy,Israel,Locura,,es,True,-0.8658,0.051,0.209,0.74,post
Yasmin Levy,Israel,Yo En La Prizion,,es,True,0.267,0.186,0.169,0.645,post
Yasmin Levy,Israel,Irme Kero,2007,es,True,-0.5267,0.0,0.048,0.952,pre
Yasmin Levy,Israel,De Edad De Kinze Anyos,,es,True,0.9201,0.233,0.048,0.719,post
Yasmin Levy,Israel,Si veriash,,es,True,0.4404,0.053,0.0,0.947,post
Arik Einstein,Israel,Atur Mitzchech - עטור מצחך,1977,he,True,-0.7742,0.057,0.087,0.855,pre
Arik Einstein,Israel,Adon Shoko - אדון שוקו,1989,he,True,0.9715,0.106,0.019,0.875,pre
Arik Einstein,Israel,Ani Ve’ata - אני ואתה,1970,he,True,-0.707,0.0,0.094,0.906,pre
Arik Einstein,Israel,Shabat Baboker - שבת בבוקר,1989,he,True,0.9708,0.081,0.0,0.919,pre
Arik Einstein,Israel,Uf Gozal - עוף גוזל,1987,he,True,0.6336,0.142,0.099,0.759,pre
Arik Einstein,Israel,Sa Le’at - סע לאט,1974,he,True,-0.765,0.042,0.062,0.896,pre
Arik Einstein,Israel,Ma Ata Ose’ Kshe’ata Kam Baboker - מה אתה עושה כשאתה קם בבוקר,1970,he,True,-0.8753,0.052,0.077,0.871,pre
Arik Einstein,Israel,Agadat Deshe - אגדת דשא,1974,he,True,0.9635,0.088,0.042,0.87,pre
Arik Einstein,Israel,Halayla Ha’zeh - הלילה הזה,1966,he,True,-0.3612,0.0,0.021,0.979,pre
Arik Einstein,Israel,Maya - מאיה,1970,he,True,0.6921,0.111,0.074,0.815,pre
Arik Einstein,Israel,Kama Tov Shebata Habayta - כמה טוב שבאת הביתה,1972,he,True,0.9987,0.363,0.0,0.637,pre
Arik Einstein,Israel,San Francisco Al Hamayim - סן פרנסיסקו על המים,1980,he,True,0.9913,0.16,0.023,0.817,pre
Arik Einstein,Israel,Ze Lo Bediuk Ga’agua - זה לא בדיוק געגוע -,2004,he,True,0.8935,0.103,0.036,0.861,pre
Arik Einstein,Israel,Kshe’at Bocha At Lo Yafa - כשאת בוכה את לא יפה,1969,he,True,-0.9959,0.019,0.289,0.692,pre
Arik Einstein,Israel,Shekshenavo - שכשנבוא,1986,he,True,0.9966,0.206,0.0,0.794,pre
Arik Einstein,Israel,Tozeret Ha’aretz - תוצרת הארץ,1985,he,True,0.984,0.142,0.086,0.772,pre
Arik Einstein,Israel,Kol Ehad Rotze - כל אחד רוצה,1999,he,True,0.7423,0.078,0.064,0.858,pre
Arik Einstein,Israel,Amru Lo - אמרו לו,1993,he,True,-0.9761,0.045,0.148,0.807,pre
Arik Einstein,Israel,Od Nipagesh - עוד נפגש,1984,he,True,0.9761,0.179,0.068,0.754,pre
Arik Einstein,Israel,Ohev Lihiyot Babayit - אוהב להיות בבית,1986,he,True,0.9981,0.215,0.0,0.785,pre
Omar Souleyman,Syria,Warni Warni,,en,False,0.9975,0.291,0.029,0.68,post
Omar Souleyman,Syria,Wenu Wenu,2013,en,False,0.9966,0.299,0.106,0.595,post
Omar Souleyman,Syria,Mawal Jamar,,en,False,0.977,0.197,0.095,0.708,post
Omar Souleyman,Syria,شو تريدين (Shi Tridin),2019,so,True,0.8608,0.143,0.067,0.789,post
Omar Souleyman,Syria,شلون (Shlon),2019,en,False,-0.25,0.0,0.019,0.981,post
Omar Souleyman,Syria,Layle (Boys Noize Remix),2020,ar,True,0.9925,0.158,0.045,0.798,post
Omar Souleyman,Syria,Chobi,2017,ar,True,0.0,0.0,0.0,1.0,post
Omar Souleyman,Syria,ابو زيليف (Abou Zilif),2019,so,True,0.7783,0.101,0.032,0.867,post
Omar Souleyman,Syria,عطيني حُبّة (3tini 7obba),2019,id,True,0.9799,0.132,0.0,0.868,post
Omar Souleyman,Syria,Mawal Menzal,2015,it,False,0.0,0.0,0.0,1.0,post
Omar Souleyman,Syria,ليلي (Layle),2019,ar,True,0.9925,0.158,0.045,0.798,post
Lena Chamamyan,Syria,Lama Bada Yatathana - لما بدا يتثنى,2006,ar,True,0.9983,0.353,0.046,0.601,pre
Lena Chamamyan,Syria,Bali Ma’ak - بالي معاك,2006,ar,True,0.9598,0.2,0.141,0.659,pre
Lena Chamamyan,Syria,Ya Msafera - يا مسافرة,2007,ar,True,0.9983,0.265,0.019,0.716,pre
Lena Chamamyan,Syria,Hal Asmar El-Lon - هالأسمر اللون,2006,ar,True,0.9764,0.273,0.126,0.6,pre
Lena Chamamyan,Syria,Hane’sh W Nshoof - هنعيش ونشوف,2020,ar,True,0.0,0.0,0.0,1.0,post
Lena Chamamyan,Syria,Kotshina - كوتشينة,2024,ar,True,0.0,0.0,0.0,1.0,post
Fairuz,Syria,Diva,2019,de,True,0.9963,0.149,0.037,0.814,post
Fairuz,Syria,Nasib,2019,de,True,-0.9912,0.022,0.147,0.83,post
Fairuz,Syria,Verpasst,2021,de,True,0.9715,0.274,0.219,0.506,post
Fairuz,Syria,Endorphine,2021,de,True,-0.9862,0.102,0.206,0.692,post
Fairuz,Syria,Liebe nur geliehen,2021,de,True,0.996,0.204,0.093,0.703,post
Fairuz,Syria,Beyoncé & Jay-Z,2021,de,True,0.9986,0.233,0.047,0.721,post
Fairuz,Syria,1 In A Million,2021,de,True,0.8662,0.089,0.044,0.867,post
Fairuz,Syria,Ca Va,2021,de,True,0.9954,0.277,0.031,0.692,post
Farid al-Atrash,Syria,Hebena Hebena - حبينا حبينا,1975,id,True,0.9075,0.08,0.033,0.886,pre
Farid al-Atrash,Syria,Albi W Moftaho - قلبي ومفتاحه,1962,ar,True,0.9979,0.289,0.061,0.65,pre
Farid al-Atrash,Syria,Ala Baly - على بالي,1970,ar,True,0.9921,0.323,0.024,0.653,pre
George Wassouf,Syria,Helaf El Amar - حلف القمر,1984,ar,True,0.9976,0.192,0.022,0.786,pre
George Wassouf,Syria,Kalam Ennas - كلام الناس,1994,ar,True,0.9962,0.207,0.102,0.69,pre
George Wassouf,Syria,Khesert Koul El Nass - خسرت كل الناس,2006,ar,True,0.0,0.0,0.0,1.0,pre
George Wassouf,Syria,Kedah Kifayah - كده كفاية,2000,ar,True,0.0,0.0,0.0,1.0,pre
George Wassouf,Syria,Tabeeb Garah - طبيب جراح,1999,ar,True,0.0,0.0,0.0,1.0,pre
George Wassouf,Syria,Sayad Al Touyour - صياد الطيور,1993,ar,True,-0.995,0.07,0.155,0.776,pre
George Wassouf,Syria,Salaf W Dayn - سلف ودين,2003,ar,True,0.9954,0.205,0.148,0.648,pre
George Wassouf,Syria,Laiel El Ashekin - ليل العاشقين,1995,ar,True,0.9886,0.269,0.152,0.579,pre
George Wassouf,Syria,Byehsidouni - بيحسدوني,2011,ar,True,0.9959,0.227,0.103,0.67,post
George Wassouf,Syria,Sa7i El Leil - صاحي الليل,2020,ar,True,0.0,0.0,0.0,1.0,post
George Wassouf,Syria,Ana Asef - أنا آسف,1999,ar,True,0.9978,0.174,0.084,0.743,pre
George Wassouf,Syria,Alb Al Asheq Daleiloh - قلب العاشق دليله,2002,ar,True,0.0,0.0,0.0,1.0,pre
George Wassouf,Syria,Saber W Radi - صابر وراضي,2003,ar,True,0.0,0.0,0.0,1.0,pre
George Wassouf,Syria,Kalamak Ya Habibi - كلامك يا حبيبي,2008,ar,True,0.9967,0.218,0.071,0.711,pre
George Wassouf,Syria,Sehert El Liel - سهرت الليل,2004,ar,True,-0.9978,0.071,0.16,0.769,pre
George Wassouf,Syria,El Hawa Sultan - الهوى سلطان,1984,ar,True,0.9997,0.415,0.072,0.512,pre
George Wassouf,Syria,Ma Teoulou Leeh - ما تقولو ليه,2000,ar,True,0.0,0.0,0.0,1.0,pre
George Wassouf,Syria,Asaab Fourak - أصعب فراق,2008,ar,True,0.0,0.0,0.0,1.0,pre
George Wassouf,Syria,Allah Karim - الله كريم,2009,ar,True,0.0,0.0,0.0,1.0,pre
George Wassouf,Syria,Lailat Wedaena (Ya Habibi) - ليلة وداعنا (يا حبيبي),2006,ar,True,0.9985,0.236,0.039,0.725,pre
DAM,Palestine,Emta Njawzak Yamma,2019,ar,True,0.9874,0.13,0.074,0.796,pre
DAM,Palestine,Milliardat - ملياردات,2019,ar,True,0.0,0.0,0.0,1.0,pre
DAM,Palestine,JASADIK-HOM - جسدكهم,2019,ar,True,-0.933,0.037,0.053,0.91,pre
DAM,Palestine,Ben Haana Wa Maana - بين حانة ومانة,,ar,True,0.7305,0.052,0.037,0.911,post
DAM,Palestine,Meen Erhabe (Who’s the Terrorist?) [English Version],2001,en,False,-0.9979,0.085,0.22,0.696,pre
